"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"Cerastium nutans","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium nutans","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10,5,6,6,3,0.001,33.4,"herb","Short lived",0.001
"Cerbera manghas","Gentianales","Apocynaceae","Cerbera","Cerbera manghas","Hermaphrodite","self_compatible","none",14.9402178417305,"Tube","actinomorphic",1500,15,75,22.5,28.5,25,8,"tree","Perennial",6
"Cercis canadensis","Fabales","Fabaceae","Cercis","Cercis canadensis","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15000,5,50,12.5,15.5646172116276,7.5,6,"tree","Perennial",8
"Cereus bicolor","Caryophyllales","Cactaceae","Cereus","Cereus hildmannianus","Hermaphrodite","partially_self_compatible","low",7.5,"Open","actinomorphic",50,1,125,125,24.1,20,1800,"tree","Perennial",10
"Cerinthe gymnandra","Boraginales","Boraginaceae","Cerinthe","Cerinthe major","Hermaphrodite","self_compatible","high",50.6988896207662,"Tube","actinomorphic",20,8,30,6,24,24,2,"herb","Short lived",0.001
"Chaerophyllum procumbens","Apiales","Apiaceae","Chaerophyllum","Chaerophyllum procumbens","Hermaphrodite","self_compatible","high",44.1776043042929,"Open","actinomorphic",20,6,15,2.8,0.001,1,2,"herb","Short lived",0.001
"Cassia chamaecrista","Fabales","Fabaceae","Chamaecrista","Chamaecrista chamaecristoides","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",20,3,90,30,15,11.92,11.1,"shrub","Perennial",0.001
"Chamaedaphne calyculata","Ericales","Ericaceae","Chamaedaphne","Chamaedaphne calyculata","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",750,15,10,3.5,5.1,4.55,60,"shrub","Perennial",0.001
"Chamaemelum fuscatum","Asterales","Asteraceae","Chamaemelum","Chamaemelum fuscatum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",10,1,24.1,24.1,2.75,3,150,"herb","Short lived",0.001
"Chamaerops humilis","Arecales","Arecaceae","Chamaerops","Chamaerops humilis","Dioecious","dioecious","none",0,"Open","actinomorphic",4000,300,200,4.5,4,0.001,3,"shrub","Perennial",1
"Chamomilla suaveolens","Asterales","Asteraceae","Chamomilla","Chamomilla suaveolens","Hermaphrodite","partially_self_compatible","low",21,"Capitulum","actinomorphic",25,15,8.5,8.5,8.5,0.001,150,"herb","Short lived",0.001
"Chassalia coriacea","Gentianales","Rubiaceae","Chassalia","Chassalia coriacea","Hermaphrodite","self_compatible","none",23.6856946430466,"Tube","actinomorphic",30,30,40,10,13,10,2,"shrub","Perennial",2.5
"Chassalia petrinensis","Gentianales","Rubiaceae","Chassalia","Chassalia petrinensis","Hermaphrodite","self_compatible","none",23.7836822879298,"Tube","actinomorphic",30,30,40,10,19.1,10,2,"shrub","Perennial",1.4
"Chelidonium majus","Ranunculales","Papaveraceae","Chelidonium","Chelidonium majus","Hermaphrodite","self_compatible","high",43.957207438167,"Open","actinomorphic",10,10,45,15.1,1.1,31.12,52.5,"herb","Short lived",0.001
"Chicocca alba","Gentianales","Rubiaceae","Chiococca","Chiococca alba","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",1500,30,30,5,4.1,5.5,2,"shrub","Perennial",1.5
"Chrysobalanus icaco","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","Hermaphrodite","self_compatible","low",3.3,"Campanulate","actinomorphic",9000,60,40,10,9,9,1,"shrub","Perennial",2.2
"Cicuta maculata","Apiales","Apiaceae","Cicuta","Cicuta maculata","Hermaphrodite","self_compatible","none",29.57959584521,"Open","actinomorphic",800,800,100,3,1.2,0.001,2,"herb","Perennial",1
"Cinnamomum doederleinii","Laurales","Lauraceae","Cinnamomum","Cinnamomum doederleinii","Hermaphrodite","self_compatible","none",15.286088919932,"Campanulate","actinomorphic",12000,100,20,4.1,5,2,1,"shrub","Perennial",3.5
"Cinnamomum verum","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",12000,50,100,6.5,9,3.5,1,"tree","Perennial",12
"Circaea lutetiana","Myrtales","Onagraceae","Circaea","Circaea lutetiana","Hermaphrodite","self_compatible","none",34.1225628011988,"Open","actinomorphic",25,25,40,5.5,2.9,4,2,"herb","Perennial",0.001
"Cirsium altissimum","Asterales","Asteraceae","Cirsium","Cirsium altissimum","Hermaphrodite","partially_self_compatible","low",20,"Capitulum","actinomorphic",10,1,30.1,30.1,27,4.1,100,"herb","Short lived",1.25
"Cirsium arvense","Asterales","Asteraceae","Cirsium","Cirsium arvense","Dioecious","dioecious","none",0,"Open","actinomorphic",10,5,13.5,13.5,14,3,100,"herb","Perennial",0.001
"Cirsium brevicaule","Asterales","Asteraceae","Cirsium","Cirsium brevicaule","Hermaphrodite","self_incompatible","none",5.3865485839367,"Capitulum","actinomorphic",3,5,35,35,17.5,4,100,"herb","Perennial",0.001
"Cirsium discolor","Asterales","Asteraceae","Cirsium","Cirsium discolor","Hermaphrodite","self_incompatible","none",18.0317984358675,"Capitulum","actinomorphic",70,3,45,45,30,5,100,"herb","Short lived",1.5
"Cirsium eriophoroides","Asterales","Asteraceae","Cirsium","Cirsium eriophoroides","Hermaphrodite","self_incompatible","none",1.13660570272074,"Capitulum","actinomorphic",3,3,45,45,35,4,100,"herb","Perennial",0.001
"Cirsium lanceolatum","Asterales","Asteraceae","Cirsium","Cirsium lanceolatum","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",3,3,44.5,44.5,38,4,200,"herb","Short lived",0.001
"Cirsium oleraceum","Asterales","Asteraceae","Cirsium","Cirsium oleraceum","Dioecious","self_compatible","low",13,"Capitulum","actinomorphic",5,5,40,40,25,20,100,"herb","Perennial",0.001
"Cirsium palustre","Asterales","Asteraceae","Cirsium","Cirsium palustre","Hermaphrodite","self_compatible","low",12,"Campanulate","actinomorphic",40,5,13,13,15,3,35,"herb","Short lived",1.15
"Cirsium pratensis","Asterales","Asteraceae","Cirsium","Cirsium pratense","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",15,5,27.5,27.5,22.5,10,100,"herb","Perennial",0.001
"Cirsium pumilum","Asterales","Asteraceae","Cirsium","Cirsium pumilum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,1,50,50,50,5,100,"herb","Short lived",0.001
"Cirsium vulgare","Asterales","Asteraceae","Cirsium","Cirsium vulgare","Hermaphrodite","self_incompatible","low",1,"Capitulum","actinomorphic",15,3,26,26,30,4.25,100,"herb","Short lived",1.15
"Cistus albidus","Malvales","Cistaceae","Cistus","Cistus albidus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,3,50,50,7,3,94.78,"shrub","Perennial",0.001
"Cistus ladanifer","Malvales","Cistaceae","Cistus","Cistus ladanifer","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,3,64,64,8.5,0.001,1038,"shrub","Perennial",1.75
"Cistus libanotis","Malvales","Cistaceae","Cistus","Cistus libanotis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,3,29.1,29.1,6,0.001,22,"shrub","Perennial",1.05
"Cistus salvifolius","Malvales","Cistaceae","Cistus","Cistus salviifolius","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",100,3,20,20,5,1,77,"shrub","Perennial",0.001
"Claoxylon linostachys","Malpighiales","Euphorbiaceae","Claoxylon","Claoxylon linostachys","Dioecious","dioecious","none",0,"Brush","actinomorphic",15000,20,20,1.5,2.5,0.001,3,"shrub","Perennial",0.001
"Claytonia virginica","Caryophyllales","Montiaceae","Claytonia","Claytonia virginica","Hermaphrodite","partially_self_compatible","low",0,"Open","actinomorphic",20,10,10.5,10.5,2.5,3.5,4,"herb","Perennial",0.001
"Pogonia stricta","Asparagales","Orchidaceae","Cleistes","Cleistes stricta","Hermaphrodite","self_compatible","high",47.9394393611193,"Tube","zygomorphic",1,1,20,23.9116663384992,21.5799450233055,0.001,10000,"herb","Perennial",0.001
"Cleistocactus baumannii","Caryophyllales","Cactaceae","Cleistocactus","Cleistocactus baumannii","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,15,7.19,7.19,50.02,38.61,915,"shrub","Perennial",0.001
"Clematis akebioides","Ranunculales","Ranunculaceae","Clematis","Clematis akebioides","Hermaphrodite","self_compatible","high",90,"Open","actinomorphic",100,5,27,27,5,9.5,142,"vine","Perennial",5.35
"Clematis apiifolia","Ranunculales","Ranunculaceae","Clematis","Clematis apiifolia","Hermaphrodite","self_compatible","none",24.341181380781,"Open","actinomorphic",40,40,75,16,5,4.1,58,"vine","Perennial",3
"Clematis montevidensis","Ranunculales","Ranunculaceae","Clematis","Clematis campestris","Monoecious","monoecious","none",0,"Brush","actinomorphic",40,40,60,30,15,40,77.5,"herb","Perennial",3.5
"Clematis grata","Ranunculales","Ranunculaceae","Clematis","Clematis grata","Hermaphrodite","self_compatible","none",20.50109403455,"Brush","actinomorphic",1000,100,60,15.5,4,5.5,6,"shrub","Perennial",2.5
"Clematis pitcheri","Ranunculales","Ranunculaceae","Clematis","Clematis pitcheri","Hermaphrodite","self_compatible","none",23.9779283619469,"Campanulate","actinomorphic",15,1,23,23,26,25,58,"vine","Perennial",1.8
"Clematis terniflora","Ranunculales","Ranunculaceae","Clematis","Clematis terniflora","Hermaphrodite","self_compatible","none",21.2815883495078,"Open","actinomorphic",320,25,80,22,16.8358519608204,5.5,58,"vine","Perennial",4.5
"Clematis virginiana","Ranunculales","Ranunculaceae","Clematis","Clematis virginiana","Dioecious","self_compatible","none",11.3913698825143,"Open","actinomorphic",500,25,100,18,25.0136417148157,30,8,"vine","Perennial",3.3
"Cleome guianensis","Brassicales","Cleomaceae","Cleome","Cleome guianensis","Hermaphrodite","self_compatible","high",60.5954714419075,"Open","zygomorphic",10,5,9,9,1,5.15,14,"herb","Short lived",0.001
"Cleome viscosa","Brassicales","Cleomaceae","Cleome","Cleome viscosa","Dioecious","self_compatible","high",88,"Campanulate","actinomorphic",10,10,15,15,14.1,1.1,138.5,"herb","Short lived",1
"Clerodendrum molle","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum villosum","Hermaphrodite","self_compatible","low",20,"Tube","zygomorphic",30,30,100,22,22,42,4,"shrub","Perennial",3.25
"Clethra barbinervis","Ericales","Clethraceae","Clethra","Clethra barbinervis","Hermaphrodite","self_compatible","none",25.6449060647875,"Open","actinomorphic",2000,90,25,7,3.5,2.5,90,"tree","Perennial",5
"Clidemia capitellata","Myrtales","Melastomataceae","Clidemia","Clidemia capitellata","Hermaphrodite","self_compatible","medium",26,"Open","actinomorphic",150,12,30,11.25,1,5,206.3,"shrub","Perennial",2
"Clinopodium megalanthum","Lamiales","Lamiaceae","Clinopodium","Clinopodium megalanthum","Hermaphrodite","self_compatible","high",49.0624197875734,"Tube","zygomorphic",75,75,35,12,17.5,13,4,"herb","Perennial",0.001
"Clinopodium repens","Lamiales","Lamiaceae","Clinopodium","Clinopodium repens","Hermaphrodite","self_compatible","high",57.7131707343004,"Tube","zygomorphic",75,75,20,4,7,7,4,"herb","Perennial",0.001
"Clusia grandiflora","Malpighiales","Clusiaceae","Clusia","Clusia grandiflora","Dioecious","dioecious","none",0,"Open","actinomorphic",100,3,95,95,18.6000149100844,0.001,25,"tree","Perennial",5
"Clusia pusilla","Malpighiales","Clusiaceae","Clusia","Clusia pusilla","Dioecious","dioecious","none",0,"Open","actinomorphic",100,1,50,50,5.77635635906089,0.001,25,"shrub","Perennial",2.5
"Cnidoscolus urens","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus urens","Monoecious","monoecious","none",0,"Tube","actinomorphic",25,5,50,12.5,7.5,0.001,3,"herb","Perennial",0.001
"Coccoloba guaranitica","Caryophyllales","Polygonaceae","Coccoloba","Coccoloba guaranitica","Dioecious","dioecious","none",6.79859364467699,"Open","actinomorphic",1000,30,25,2.94124307656602,0.001,0.001,1,"shrub","Perennial",4.19642260742749
"Cochlearia groenlandica","Brassicales","Brassicaceae","Cochlearia","Cochlearia groenlandica","Hermaphrodite","self_compatible","high",48.7444030311715,"Open","actinomorphic",300,10,15,4.5,1.1,0.001,15,"herb","Short lived",0.001
"Codonopsis convolvulacea","Asterales","Campanulaceae","Codonopsis","Codonopsis convolvulacea","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",20,1,45,45,10,1,250,"vine","Perennial",0.001
"Codonopsis lanceolata","Asterales","Campanulaceae","Codonopsis","Codonopsis lanceolata","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",40,1,27.5,27.5,30,10,250,"vine","Perennial",0.001
"Coffea arabica","Gentianales","Rubiaceae","Coffea","Coffea arabica","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",5000,300,60,14.1,9.1,7,2,"tree","Perennial",6.5
"Coffea macrocarpa","Gentianales","Rubiaceae","Coffea","Coffea macrocarpa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",40,40,30,6.5,6.5,7,2,"shrub","Perennial",1.75
"Coffea mauritiana","Gentianales","Rubiaceae","Coffea","Coffea mauritiana","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",50,10,15,16.3118254470062,9.5025163752915,7,2,"tree","Perennial",4.5
"Colea seychellarum","Scrophulariales","Bignoniaceae","Colea","Colea seychellarum","Hermaphrodite","self_compatible","low",29.6757256391215,"Tube","zygomorphic",2500,15,40,40,30,30,100,"tree","Perennial",9
"Collinsia verna","Lamiales","Plantaginaceae","Collinsia","Collinsia verna","Hermaphrodite","self_compatible","medium",44,"Tube","zygomorphic",10,10,35,7.5,9,9.5,4,"herb","Short lived",2.6
"Comandra umbellata","Santalales","Santalaceae","Comandra","Comandra umbellata","Hermaphrodite","partially_self_compatible","low",5,"Tube","actinomorphic",40,40,30,5,5,1.2,2.5,"herb","Perennial",0.001
"Condalia microphylla","Rosales","Rhamnaceae","Condalia","Condalia microphylla","Hermaphrodite","self_compatible","none",30.4165791822542,"Open","actinomorphic",2000,15,10,2.55,2.79364791924188,1.05,1,"shrub","Perennial",1
"Eupatorium coelestinum","Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","Hermaphrodite","self_compatible","none",16.7732108778069,"Capitulum","actinomorphic",200,15,50.5,50.5,7.9,4.2,70,"herb","Perennial",0.001
"Convolvulus althaeoides","Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",50,1,22.5,22.5,17.5,7.5,4,"herb","Perennial",1
"Convolvulus arvensis","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",20,1,22.5,22.5,15,10,4,"herb","Perennial",1.25
"Cordia leucophlyctis","Boraginales","Boraginaceae","Cordia","Cordia leucophlyctis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,10,40,9.71,7.38,1.6,4,"shrub","Perennial",1.75
"Cordia lutea","Boraginales","Boraginaceae","Cordia","Cordia lutea","Hermaphrodite","self_compatible","low",4,"Campanulate","actinomorphic",250,20,150,30,24.63,10.1,4,"tree","Perennial",4.5
"Coreopsis palmata","Asterales","Asteraceae","Coreopsis","Coreopsis palmata","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",3,3,38,38,11,6.7,90,"herb","Perennial",0.001
"Coreopsis tripteris","Asterales","Asteraceae","Coreopsis","Coreopsis tripteris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,3,67.5,67.5,14.1,3.5,60,"herb","Perennial",1.65
"Cornus amomum","Cornales","Cornaceae","Cornus","Cornus amomum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",4000,100,100,10,10.9810489673888,3.4,2,"shrub","Perennial",3
"Cornus florida","Cornales","Cornaceae","Cornus","Cornus florida","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",10000,3,15,3,3,3.5,2,"tree","Perennial",7.5
"Swida macrophylla","Cornales","Cornaceae","Cornus","Cornus macrophylla","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",70000,100,120,8.5,2,4.5,2,"tree","Perennial",13.5
"Cornus paniculata","Cornales","Cornaceae","Cornus","Cornus oblonga","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",28000,100,100,8,1,2.65,2,"tree","Perennial",8
"Corokia cotoneaster","Asterales","Argophyllaceae","Corokia","Corokia cotoneaster","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",200,15,6.5,6.5,1,1.5,1.2,"shrub","Perennial",1
"Corydalis incisa","Ranunculales","Papaveraceae","Corydalis","Corydalis incisa","Hermaphrodite","self_compatible","low",21,"Tube","zygomorphic",30,30,30,5.5,15,2.5,15.5,"herb","Short lived",0.001
"Corydalis pallida","Ranunculales","Papaveraceae","Corydalis","Corydalis pallida","Hermaphrodite","self_compatible","high",64.9072186907097,"Tube","zygomorphic",30,30,30,5,15,3.5,15,"herb","Short lived",0.001
"Crataegus coccinea","Rosales","Rosaceae","Crataegus","Crataegus coccinea","Hermaphrodite","self_compatible","none",12.6826516451121,"Open","actinomorphic",10000,30,150,18.5,5,8,2,"tree","Perennial",9.5
"Crataegus crus-galli","Rosales","Rosaceae","Crataegus","Crataegus crus-galli","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",14000,50,150,10,2.5,8,4,"tree","Perennial",7.5
"Crataegus mollis","Rosales","Rosaceae","Crataegus","Crataegus mollis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1e+05,50,150,22.5,20.2608364753943,8,2,"tree","Perennial",9.1
"Youngia denticulata","Asterales","Asteraceae","Crepidiastrum","Crepidiastrum denticulatum","Hermaphrodite","self_compatible","high",40.714248945705,"Open","actinomorphic",135,15,15,15,8.2,5,16,"herb","Short lived",0.001
"Crepidiastrum lanceolatum","Asterales","Asteraceae","Crepidiastrum","Crepidiastrum lanceolatum","Hermaphrodite","self_incompatible","none",11.1987417268444,"Capitulum","actinomorphic",30,30,15,15,10,5,10,"herb","Perennial",0.001
"Crepis capillaris","Asterales","Asteraceae","Crepis","Crepis capillaris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,10,15,15,10,5,40,"herb","Short lived",0.001
"Crepis paludosa","Asterales","Asteraceae","Crepis","Crepis paludosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,15,20,20,3.5,6,40,"herb","Perennial",0.001
"Crithmum maritimum","Apiales","Apiaceae","Crthitmum","Crithmum maritimum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",1000,200,15,3,1,5.5,4,"herb","Perennial",0.001
"Croomia japonica","Pandanales","Stemonaceae","Croomia","Croomia japonica","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,1,9.1,9.1,5,0.001,8,"herb","Perennial",0.001
"Crotalaria incana","Fabales","Fabaceae","Crotalaria","Crotalaria incana","Hermaphrodite","self_compatible","medium",65,"Papilionaceous","zygomorphic",150,35,20,9,9,8,8,"herb","Perennial",0.001
"Crotalaria pumila","Fabales","Fabaceae","Crotolaria","Crotalaria pumila","Hermaphrodite","self_compatible","high",59.8240507342606,"Papilionaceous","zygomorphic",50,10,20,10,9.1,2,8,"herb","Perennial",0.001
"Crotalaria sagittalis","Fabales","Fabaceae","Crotalaria","Crotalaria sagittalis","Hermaphrodite","self_compatible","high",72.1133794796639,"Papilionaceous","zygomorphic",10,5,9,9,8,5,8,"herb","Short lived",2.7
"Croton fothergillifolius","Malpighiales","Euphorbiaceae","Croton","Croton fothergillifolius","Monoecious","monoecious","none",0,"Brush","actinomorphic",1500,5,2.1,2.1,0.001,2.5,3,"shrub","Perennial",4
"Croton grangeroides","Malpighiales","Euphorbiaceae","Croton","Croton grangerioides","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,5,20,0.001,0.001,2.5,3,"herb","Perennial",2.5
"Croton hirtus","Malpighiales","Euphorbiaceae","Croton","Croton hirtus","Monoecious","monoecious","none",0,"Open","actinomorphic",1200,30,20,5,5,2.4,3,"herb","Short lived",0.001
"Croton scouleri","Malpighiales","Euphorbiaceae","Croton","Croton scouleri","Dioecious","dioecious","none",0,"Open","actinomorphic",1800,60,20,3,1,3,3,"tree","Perennial",4
"Cryptocarpus pyriformis","Caryophyllales","Nyctaginaceae","Cryptocarpus","Cryptocarpus pyriformis","Hermaphrodite","self_compatible","low",11,"Open","actinomorphic",2500,20,25,2.26,1.59,0.001,2,"shrub","Perennial",0.001
"Cryptotaenia canadensis","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia canadensis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",100,100,25,3,1,1,2,"herb","Perennial",0.001
"Cryptotaenia japonica","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia japonica","Hermaphrodite","self_compatible","none",35.8032081133196,"Campanulate","actinomorphic",40,40,4,4,4,0.001,2,"herb","Perennial",0.001
"Cucurbita pepo","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo","Monoecious","monoecious","none",0,"Funnelform","actinomorphic",15,1,100,100,70,10,500,"herb","Short lived",0.001
"Cuphea o'donellii","Myrtales","Lythraceae","Cuphea","Cuphea odonellii","Hermaphrodite","partially_self_compatible","medium",32.26,"Open","actinomorphic",20,20,10,12.2863705347287,10,1,4,"herb","Short lived",1
"Cuphea racemosa","Myrtales","Lythraceae","Cuphea","Cuphea racemosa","Hermaphrodite","self_compatible","medium",36.1,"Tube","zygomorphic",15,15,10,3.8,5.1,1,4,"herb","Short lived",0.001
"Cuphea thymoides","Myrtales","Lythraceae","Cuphea","Cuphea thymoides","Hermaphrodite","self_compatible","high",42.5820225208474,"Tube","actinomorphic",50,15,10,1.25,7,1,6,"herb","Perennial",0.001
"Cuphea petiolata","Myrtales","Lythraceae","Cuphea","Cuphea viscosissima","Hermaphrodite","self_compatible","high",66.8206892671978,"Tube","zygomorphic",10,10,10,4.1,10,1,4,"herb","Short lived",0.001
"Cuscuta cephalanthi","Solanales","Convolvulaceae","Cuscuta","Cuscuta cephalanthi","Hermaphrodite","self_compatible","high",43.9440892837362,"Open","actinomorphic",200,200,15,3,3,1.25,4,"herb","Short lived",0.001
"Cuscuta glomerata","Solanales","Convolvulaceae","Cuscuta","Cuscuta glomerata","Hermaphrodite","self_compatible","high",47.9147756667974,"Tube","actinomorphic",900,900,50,9.5,4.5,4.5,4,"herb","Short lived",0.001
"Cyananthus delavayi","Asterales","Campanulaceae","Cyananthus","Cyananthus delavayi","Dioecious","partially_self_compatible","none",18.262810949323,"Tube","actinomorphic",15,1,15,15,20,8,34,"herb","Perennial",0.001
"Cybianthus quelchii","Ericales","Primulaceae","Cybianthus","Cybianthus quelchii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",200,200,20,2.75,2.75,0.001,3.5,"shrub","Perennial",2.5
"Cynoglossum amabile","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum amabile","Hermaphrodite","self_compatible","high",47.5207508545044,"Open","actinomorphic",30,30,24,6,2,4,4,"herb","Short lived",0.001
"Cynoglossum officinale","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,50,30,6,5.3,1,4,"herb","Short lived",0.001
"Cypripedium parviflorum pubescens","Asparagales","Orchidaceae","Cypripedium","Cypripedium parviflorum","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",50,1,4.2,4.2,73,0.001,25000,"herb","Perennial",0.001
"Cyrilla racemiflora","Ericales","Cyrillaceae","Cyrilla","Cyrilla racemiflora","Hermaphrodite","self_incompatible","low",0.02,"Open","actinomorphic",16000,400,30,5,1,2,3,"tree","Perennial",4.1
"Cytisus scoparius","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",500,20,64,16,20,10,13,"shrub","Perennial",2.5
"Petalostemum purpureum","Fabales","Fabaceae","Dalea","Dalea purpurea","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",10500,130,25,4,3.1,8.5,2,"herb","Perennial",0.001
"Darwiniothamnus lancifolius","Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus lancifolius","Hermaphrodite","self_compatible","none",18.6283884097511,"Capitulum","actinomorphic",500,10,10,10,5,5,60,"shrub","Perennial",2
"Darwiniothamnus tenuifolius","Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus tenuifolius","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",300,6,16.5,16.5,3.83440938451838,5,60,"shrub","Perennial",5
"Potentilla fruticosa","Rosales","Rosaceae","Dasiphora","Dasiphora fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",80,2,19.1,19.1,2.5,2,88,"shrub","Perennial",1.65
"Seymeria macrophylla","Lamiales","Orobanchaceae","Dasistoma","Dasistoma macrophylla","Hermaphrodite","self_compatible","high",51.1580854671041,"Tube","zygomorphic",30,5,10.1,10.1,13.1,3,207.98158424961,"herb","Perennial",1.2
"Datura stramonium","Solanales","Solanaceae","Datura","Datura stramonium","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,2,40,40,75,50,80,"herb","Short lived",1.25
"Daucus carota carota","Apiales","Apiaceae","Daucus","Daucus carota","Monoecious","self_compatible","none",0,"Open","zygomorphic",650,650,80,5.5,1.5,1.15,2,"herb","Short lived",0.001
"Deckenia nobilis","Arecales","Arecaceae","Deckenia","Deckenia nobilis","Monoecious","monoecious","none",0,"Spike","actinomorphic",50000,12500,600,1,1,0.001,2000,"tree","Perennial",19.1
"Declieuxia fruticosa","Gentianales","Rubiaceae","Declieuxia","Declieuxia fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",175,175,60,5.5,3.5,4.35,2,"shrub","Perennial",0.001
"Delphinium delavayi","Ranunculales","Ranunculaceae","Delphinium","Delphinium delavayi","Hermaphrodite","self_compatible","low",38.7582811347896,"Tube","zygomorphic",15,15,100,27.5,50,2.5,14,"herb","Perennial",0.001
"Delphinium tricorne","Ranunculales","Ranunculaceae","Delphinium","Delphinium tricorne","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,30,90,35,35,15,42,"herb","Perennial",0.001
"Dendropanax trifidus","Apiales","Araliaceae","Dendropanax","Dendropanax trifidus","Dioecious","dioecious","none",4.63863675939701,"Open","actinomorphic",2500,40,10,1.1,2,0.001,12,"tree","Perennial",7
"Sisymbrium canescens","Brassicales","Brassicaceae","Descurainia","Descurainia pinnata","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",35,10,30,3,1.5,0.001,28,"herb","Short lived",0.001
"Desmanthus virgatus","Fabales","Fabaceae","Desmanthus","Desmanthus virgatus","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","actinomorphic",50,30,10,1,2.75,3.15,7,"shrub","Perennial",1
"Desmodium barbatum","Fabales","Fabaceae","Desmodium","Desmodium barbatum","Hermaphrodite","self_compatible","medium",31.25,"Papilionaceous","zygomorphic",300,30,20,4.5,6,2,7,"herb","Short lived",0.001
"Desmodium canadense","Fabales","Fabaceae","Desmodium","Desmodium canadense","Hermaphrodite","self_compatible","high",59.0528953365869,"Papilionaceous","zygomorphic",50,15,20,11,11,2,7,"herb","Perennial",1.35
